payment_id,user_id,amount,payment_date,plan_type,valid_until,churn_status,renewed
T67295538033,15010,7.99,01-11-2024,Standard,01-12-2024,churned,FALSE
T82598609697,15011,4.99,01-11-2024,Student Plan,01-12-2024,active,TRUE
T86797767119,15011,4.99,06-12-2024,Student Plan,05-01-2025,active,TRUE
T79595695773,15011,7.99,10-01-2025,Standard,09-02-2025,active,TRUE
T80996114195,15011,7.99,14-02-2025,Standard,16-03-2025,churned,FALSE
T91003413321,15012,12.99,01-11-2024,Premium,31-12-2024,active,TRUE
T91795527816,15012,12.99,01-01-2025,Premium,02-03-2025,active,TRUE
T85374816737,15012,12.99,04-03-2025,Premium,03-05-2025,active,TRUE
T89398746132,15013,4.99,01-11-2024,Student Plan,01-12-2024,active,TRUE
T88618340917,15013,4.99,06-12-2024,Student Plan,05-01-2025,churned,FALSE
T97605411177,15014,12.99,01-11-2024,Premium,31-12-2024,churned,FALSE
T91857696315,15015,12.99,01-11-2024,Premium,31-12-2024,active,TRUE
T64356152424,15015,12.99,02-01-2025,Premium,03-03-2025,active,TRUE
T66232859527,15015,12.99,06-03-2025,Premium,05-05-2025,active,TRUE
T80661768691,15016,12.99,01-11-2024,Premium,31-12-2024,active,TRUE
T94004614165,15016,12.99,03-01-2025,Premium,04-03-2025,active,TRUE
T74390334266,15016,12.99,08-03-2025,Premium,07-05-2025,active,TRUE
T57975160415,15017,7.99,01-11-2024,Standard,01-12-2024,churned,FALSE
T56360377263,15018,7.99,01-11-2024,Standard,01-12-2024,active,TRUE
T77936566461,15018,7.99,03-12-2024,Standard,02-01-2025,active,TRUE
T72332071303,15018,7.99,04-01-2025,Standard,03-02-2025,churned,FALSE
T51016615944,15019,7.99,01-11-2024,Standard,01-12-2024,churned,FALSE
T67866895253,15020,12.99,01-11-2024,Premium,31-12-2024,active,TRUE
T68146927813,15020,12.99,01-01-2025,Premium,02-03-2025,active,TRUE
T60452605066,15020,12.99,07-03-2025,Premium,06-05-2025,active,TRUE
T55271788119,15021,12.99,01-11-2024,Premium,31-12-2024,active,TRUE
T65027241832,15021,7.99,04-01-2025,Standard,03-02-2025,active,TRUE
T80694921165,15021,7.99,07-02-2025,Standard,09-03-2025,active,TRUE
T78780773096,15021,-5.99,11-03-2025,Standard,10-04-2025,active,TRUE
T96163605526,15022,7.99,01-11-2024,Standard,01-12-2024,active,TRUE
T52784926787,15022,7.99,06-12-2024,Standard,05-01-2025,active,TRUE
T96681277563,15022,7.99,09-01-2025,Standard,08-02-2025,active,TRUE
T50643057417,15022,7.99,10-02-2025,Standard,12-03-2025,churned,FALSE
T75985654279,15023,12.99,02-11-2024,Premium,01-01-2025,active,TRUE
T61688474355,15023,12.99,04-01-2025,Premium,05-03-2025,active,TRUE
T97221161916,15023,12.99,08-03-2025,Premium,07-05-2025,active,TRUE
T66483474111,15024,4.99,02-11-2024,Student Plan,02-12-2024,active,TRUE
T85150626520,15024,4.99,07-12-2024,Student Plan,06-01-2025,active,TRUE
T84819416018,15024,4.99,09-01-2025,Student Plan,08-02-2025,active,TRUE
T67806285433,15024,4.99,10-02-2025,Student Plan,12-03-2025,active,TRUE
T68397112337,15024,4.99,14-03-2025,Student Plan,13-04-2025,active,TRUE
T97930083266,15025,12.99,02-11-2024,Premium,01-01-2025,active,TRUE
T67196030676,15025,7.99,04-01-2025,Standard,03-02-2025,active,TRUE
T67175758511,15025,12.99,07-02-2025,Premium,08-04-2025,active,TRUE
T70379301000,15026,4.99,02-11-2024,Student Plan,02-12-2024,active,TRUE
T52518789746,15026,4.99,05-12-2024,Student Plan,04-01-2025,active,TRUE
T99417920901,15026,7.99,05-01-2025,Standard,04-02-2025,active,TRUE
T68856136672,15026,7.99,05-02-2025,Standard,07-03-2025,active,TRUE
T96668412107,15026,7.99,12-03-2025,Standard,11-04-2025,active,TRUE
T79984546142,15027,7.99,02-11-2024,Standard,02-12-2024,active,TRUE
T92633715807,15027,7.99,07-12-2024,Standard,06-01-2025,active,TRUE
T86593212078,15027,7.99,11-01-2025,Standard,10-02-2025,active,TRUE
T92161901626,15027,7.99,11-02-2025,Standard,13-03-2025,active,TRUE
T71981155677,15027,7.99,14-03-2025,Standard,13-04-2025,active,TRUE
T78725537465,15028,12.99,02-11-2024,Premium,01-01-2025,active,TRUE
T81397052452,15028,12.99,06-01-2025,Premium,07-03-2025,active,TRUE
T68763503568,15028,12.99,09-03-2025,Premium,08-05-2025,active,TRUE
T55487840278,15029,12.99,02-11-2024,Premium,01-01-2025,churned,FALSE
T92726546347,15030,12.99,02-11-2024,Premium,01-01-2025,active,TRUE
T70469808995,15030,12.99,04-01-2025,Premium,05-03-2025,active,TRUE
T98026892064,15030,12.99,08-03-2025,Premium,07-05-2025,active,TRUE
T57676903221,15031,12.99,02-11-2024,Premium,01-01-2025,active,TRUE
T77860827886,15031,4.99,03-01-2025,Student Plan,02-02-2025,active,TRUE
T57103732483,15031,4.99,06-02-2025,Student Plan,08-03-2025,active,TRUE
T66441065397,15031,7.99,12-03-2025,Standard,11-04-2025,active,TRUE
T53474702305,15032,4.99,02-11-2024,Student Plan,02-12-2024,active,TRUE
T94238238916,15032,4.99,03-12-2024,Student Plan,02-01-2025,active,TRUE
T67528257762,15032,4.99,05-01-2025,Student Plan,04-02-2025,churned,FALSE
T72502666376,15033,4.99,02-11-2024,Student Plan,02-12-2024,active,TRUE
T52471828758,15033,4.99,04-12-2024,Student Plan,03-01-2025,churned,FALSE
T91909968669,15034,12.99,02-11-2024,Premium,01-01-2025,active,TRUE
T93719013737,15034,12.99,06-01-2025,Premium,07-03-2025,churned,FALSE
T72962955118,15035,4.99,02-11-2024,Student Plan,02-12-2024,active,TRUE
T84655403715,15035,4.99,06-12-2024,Student Plan,05-01-2025,active,TRUE
T55272869479,15035,4.99,07-01-2025,Student Plan,06-02-2025,active,TRUE
T84378451466,15035,4.99,10-02-2025,Student Plan,12-03-2025,churned,FALSE
T92561686843,15036,12.99,02-11-2024,Premium,01-01-2025,active,TRUE
T74248672135,15036,7.99,03-01-2025,Standard,02-02-2025,active,TRUE
T65730464849,15036,7.99,06-02-2025,Standard,08-03-2025,active,TRUE
T83663003005,15036,7.99,10-03-2025,Standard,09-04-2025,churned,FALSE
T72812536200,15037,12.99,02-11-2024,Premium,01-01-2025,active,TRUE
T67695357670,15037,12.99,06-01-2025,Premium,07-03-2025,active,TRUE
T96333661941,15037,12.99,11-03-2025,Premium,10-05-2025,churned,FALSE
T66496595611,15038,12.99,02-11-2024,Premium,01-01-2025,churned,FALSE
T98064240132,15039,4.99,02-11-2024,Student Plan,02-12-2024,active,TRUE
T63904739935,15039,4.99,03-12-2024,Student Plan,02-01-2025,active,TRUE
T84813215538,15039,4.99,07-01-2025,Student Plan,06-02-2025,active,TRUE
T62240940912,15039,-1,11-02-2025,Student Plan,13-03-2025,active,TRUE
T50214298069,15040,4.99,02-11-2024,Student Plan,02-12-2024,active,TRUE
T72317179689,15040,4.99,05-12-2024,Student Plan,04-01-2025,active,TRUE
T64325794452,15040,4.99,06-01-2025,Student Plan,05-02-2025,churned,FALSE
T63497963038,15041,4.99,02-11-2024,Student Plan,02-12-2024,churned,FALSE
T97528294770,15042,7.99,02-11-2024,Standard,02-12-2024,churned,FALSE
T60207584881,15043,12.99,02-11-2024,Premium,01-01-2025,active,TRUE
T81127555222,15043,12.99,06-01-2025,Premium,07-03-2025,active,TRUE
T90082053626,15043,12.99,12-03-2025,Premium,11-05-2025,active,TRUE
T68377216361,15044,4.99,03-11-2024,Student Plan,03-12-2024,active,TRUE
T87289570030,15044,12.99,07-12-2024,Premium,05-02-2025,active,TRUE
T73179071675,15044,12.99,08-02-2025,Premium,09-04-2025,active,TRUE
T88269301192,15045,12.99,03-11-2024,Premium,02-01-2025,active,TRUE
T63932302228,15045,7.99,07-01-2025,Standard,06-02-2025,active,TRUE
T66340077589,15045,7.99,07-02-2025,Standard,09-03-2025,churned,FALSE
T55609199570,15046,7.99,03-11-2024,Standard,03-12-2024,active,TRUE
T86805260982,15046,7.99,04-12-2024,Standard,03-01-2025,active,TRUE
T53591292629,15046,7.99,07-01-2025,Standard,06-02-2025,active,TRUE
T76311706696,15046,7.99,10-02-2025,Standard,12-03-2025,active,TRUE
T89312411240,15046,7.99,15-03-2025,Standard,14-04-2025,churned,FALSE
T78405054909,15047,4.99,03-11-2024,Student Plan,03-12-2024,active,TRUE
T51401540816,15047,4.99,06-12-2024,Student Plan,05-01-2025,active,TRUE
T99792714573,15047,7.99,08-01-2025,Standard,07-02-2025,active,TRUE
T57943538039,15047,4.99,09-02-2025,Student Plan,11-03-2025,active,TRUE
T75742059771,15048,12.99,03-11-2024,Premium,02-01-2025,active,TRUE
T85757668832,15048,12.99,03-01-2025,Premium,04-03-2025,active,TRUE
T75899708567,15048,12.99,08-03-2025,Premium,07-05-2025,active,TRUE
T91913761575,15049,4.99,03-11-2024,Student Plan,03-12-2024,churned,FALSE
T52288993507,15050,4.99,03-11-2024,Student Plan,03-12-2024,active,TRUE
T56106328052,15050,7.99,08-12-2024,Standard,07-01-2025,active,TRUE
T62311290532,15050,7.99,08-01-2025,Standard,07-02-2025,active,TRUE
T51805178390,15050,7.99,08-02-2025,Standard,10-03-2025,active,TRUE
T72864473869,15050,7.99,15-03-2025,Standard,14-04-2025,active,TRUE
T56967252535,15051,12.99,03-11-2024,Premium,02-01-2025,active,TRUE
T55886759459,15051,12.99,06-01-2025,Premium,07-03-2025,active,TRUE
T92821004664,15051,12.99,11-03-2025,Premium,10-05-2025,churned,FALSE
T61837910430,15052,12.99,03-11-2024,Premium,02-01-2025,churned,FALSE
T98014025266,15053,4.99,03-11-2024,Student Plan,03-12-2024,active,TRUE
T69234853564,15053,4.99,07-12-2024,Student Plan,06-01-2025,active,TRUE
T90277140177,15053,4.99,11-01-2025,Student Plan,10-02-2025,active,TRUE
T95618519247,15053,4.99,13-02-2025,Student Plan,15-03-2025,active,TRUE
T76004827492,15054,4.99,03-11-2024,Student Plan,03-12-2024,active,TRUE
T80424531244,15054,12.99,04-12-2024,Premium,02-02-2025,active,TRUE
T81277074466,15054,7.99,07-02-2025,Standard,09-03-2025,churned,FALSE
T50444135445,15055,4.99,03-11-2024,Student Plan,03-12-2024,active,TRUE
T78729095192,15055,4.99,04-12-2024,Student Plan,03-01-2025,active,TRUE
T78473076460,15055,4.99,08-01-2025,Student Plan,07-02-2025,active,TRUE
T74584343528,15055,12.99,09-02-2025,Premium,10-04-2025,active,TRUE
T57726091135,15056,12.99,03-11-2024,Premium,02-01-2025,active,TRUE
T88697505621,15056,12.99,07-01-2025,Premium,08-03-2025,active,TRUE
T69209587134,15056,12.99,11-03-2025,Premium,10-05-2025,active,TRUE
T79325599536,15057,7.99,03-11-2024,Standard,03-12-2024,active,TRUE
T89981661830,15057,7.99,05-12-2024,Standard,04-01-2025,churned,FALSE
T86558682561,15058,4.99,03-11-2024,Student Plan,03-12-2024,active,TRUE
T53137616104,15058,4.99,08-12-2024,Student Plan,07-01-2025,active,TRUE
T88972437628,15058,4.99,08-01-2025,Student Plan,07-02-2025,active,TRUE
T57531023891,15058,4.99,09-02-2025,Student Plan,11-03-2025,active,TRUE
T95754382847,15058,4.99,12-03-2025,Student Plan,11-04-2025,active,TRUE
T50405099742,15059,4.99,03-11-2024,Student Plan,03-12-2024,churned,FALSE
T72047314676,15060,7.99,03-11-2024,Standard,03-12-2024,active,TRUE
T75989644088,15060,12.99,06-12-2024,Premium,04-02-2025,active,TRUE
T85343563447,15060,12.99,06-02-2025,Premium,07-04-2025,active,TRUE
T78273475530,15061,7.99,03-11-2024,Standard,03-12-2024,churned,FALSE
T99860163751,15062,4.99,03-11-2024,Student Plan,03-12-2024,active,TRUE
T91993295764,15062,4.99,06-12-2024,Student Plan,05-01-2025,active,TRUE
T74337627560,15062,4.99,08-01-2025,Student Plan,07-02-2025,active,TRUE
T63388581945,15062,7.99,12-02-2025,Standard,14-03-2025,active,TRUE
T76123231901,15062,7.99,15-03-2025,Standard,14-04-2025,active,TRUE
T99159318869,15063,7.99,03-11-2024,Standard,03-12-2024,active,TRUE
T74354333593,15063,7.99,06-12-2024,Standard,05-01-2025,active,TRUE
T61106710058,15063,7.99,09-01-2025,Standard,08-02-2025,active,TRUE
T75113004872,15063,7.99,11-02-2025,Standard,13-03-2025,active,TRUE
T68287936906,15064,4.99,03-11-2024,Student Plan,03-12-2024,active,TRUE
T98755286428,15064,4.99,04-12-2024,Student Plan,03-01-2025,active,TRUE
T71385666288,15064,4.99,06-01-2025,Student Plan,05-02-2025,active,TRUE
T77584505721,15064,4.99,06-02-2025,Student Plan,08-03-2025,active,TRUE
T85461404642,15064,12.99,09-03-2025,Premium,08-05-2025,active,TRUE
T66593699955,15065,7.99,03-11-2024,Standard,03-12-2024,active,TRUE
T67628274194,15065,7.99,06-12-2024,Standard,05-01-2025,active,TRUE
T55378295775,15065,7.99,10-01-2025,Standard,09-02-2025,active,TRUE
T69743746630,15065,7.99,13-02-2025,Standard,15-03-2025,active,TRUE
T64055278498,15066,4.99,04-11-2024,Student Plan,04-12-2024,churned,FALSE
T52949499933,15067,7.99,04-11-2024,Standard,04-12-2024,active,TRUE
T90013702399,15067,7.99,07-12-2024,Standard,06-01-2025,churned,FALSE
T94255422726,15068,7.99,04-11-2024,Standard,04-12-2024,churned,FALSE
T74031390138,15069,12.99,04-11-2024,Premium,03-01-2025,active,TRUE
T77885228184,15069,12.99,07-01-2025,Premium,08-03-2025,active,TRUE
T73813122108,15069,12.99,10-03-2025,Premium,09-05-2025,active,TRUE
T63233527950,15070,4.99,04-11-2024,Student Plan,04-12-2024,active,TRUE
T96200642612,15070,4.99,09-12-2024,Student Plan,08-01-2025,churned,FALSE
T69571925002,15071,4.99,04-11-2024,Student Plan,04-12-2024,churned,FALSE
T97238400690,15072,12.99,04-11-2024,Premium,03-01-2025,active,TRUE
T70841921489,15072,12.99,08-01-2025,Premium,09-03-2025,active,TRUE
T72358968207,15072,12.99,11-03-2025,Premium,10-05-2025,active,TRUE
T93652832065,15073,4.99,04-11-2024,Student Plan,04-12-2024,churned,FALSE
T93428341303,15074,12.99,04-11-2024,Premium,03-01-2025,active,TRUE
T90324769698,15074,12.99,07-01-2025,Premium,08-03-2025,active,TRUE
T64071742686,15074,12.99,12-03-2025,Premium,11-05-2025,active,TRUE
T88399413063,15075,12.99,04-11-2024,Premium,03-01-2025,active,TRUE
T52756146879,15075,12.99,05-01-2025,Premium,06-03-2025,active,TRUE
T92465906919,15075,12.99,08-03-2025,Premium,07-05-2025,active,TRUE
T82006286858,15076,4.99,04-11-2024,Student Plan,04-12-2024,churned,FALSE
T55182362116,15077,12.99,04-11-2024,Premium,03-01-2025,active,TRUE
T58572445917,15077,12.99,06-01-2025,Premium,07-03-2025,active,TRUE
T59481202987,15077,12.99,08-03-2025,Premium,07-05-2025,active,TRUE
T83878440078,15078,12.99,04-11-2024,Premium,03-01-2025,active,TRUE
T59698198708,15078,12.99,08-01-2025,Premium,09-03-2025,active,TRUE
T53602482829,15078,12.99,12-03-2025,Premium,11-05-2025,active,TRUE
T96893817426,15079,7.99,04-11-2024,Standard,04-12-2024,churned,FALSE
T57239694070,15080,12.99,04-11-2024,Premium,03-01-2025,active,TRUE
T63596645640,15080,12.99,04-01-2025,Premium,05-03-2025,active,TRUE
T84018841108,15080,12.99,08-03-2025,Premium,07-05-2025,active,TRUE
T67960349478,15081,4.99,04-11-2024,Student Plan,04-12-2024,active,TRUE
T75565961576,15081,4.99,07-12-2024,Student Plan,06-01-2025,active,TRUE
T78016300235,15081,12.99,10-01-2025,Premium,11-03-2025,active,TRUE
T68237251590,15081,12.99,15-03-2025,Premium,14-05-2025,active,TRUE
T94986312424,15082,4.99,04-11-2024,Student Plan,04-12-2024,active,TRUE
T81402659958,15082,7.99,09-12-2024,Standard,08-01-2025,active,TRUE
T66500701354,15082,12.99,12-01-2025,Premium,13-03-2025,active,TRUE
T98634679920,15083,7.99,04-11-2024,Standard,04-12-2024,active,TRUE
T53172332205,15083,7.99,09-12-2024,Standard,08-01-2025,active,TRUE
T92876515932,15083,7.99,12-01-2025,Standard,11-02-2025,active,TRUE
T99852511965,15083,7.99,13-02-2025,Standard,15-03-2025,active,TRUE
T97911219538,15084,7.99,05-11-2024,Standard,05-12-2024,churned,FALSE
T74267296906,15085,12.99,05-11-2024,Premium,04-01-2025,active,TRUE
T92949495921,15085,7.99,09-01-2025,Standard,08-02-2025,active,TRUE
T74060164978,15085,12.99,13-02-2025,Premium,14-04-2025,active,TRUE
T85286742558,15086,4.99,05-11-2024,Student Plan,05-12-2024,active,TRUE
T95665797407,15086,4.99,08-12-2024,Student Plan,07-01-2025,churned,FALSE
T66727178342,15087,7.99,05-11-2024,Standard,05-12-2024,active,TRUE
T85231216395,15087,7.99,06-12-2024,Standard,05-01-2025,active,TRUE
T68103103486,15087,7.99,07-01-2025,Standard,06-02-2025,active,TRUE
T87814036068,15087,7.99,07-02-2025,Standard,09-03-2025,churned,FALSE
T90340232804,15088,7.99,05-11-2024,Standard,05-12-2024,active,TRUE
T69827565924,15088,7.99,09-12-2024,Standard,08-01-2025,active,TRUE
T57707235104,15088,7.99,09-01-2025,Standard,08-02-2025,active,TRUE
T56329570231,15088,7.99,12-02-2025,Standard,14-03-2025,active,TRUE
T69924820646,15089,7.99,05-11-2024,Standard,05-12-2024,active,TRUE
T80281259627,15089,7.99,08-12-2024,Standard,07-01-2025,active,TRUE
T77310042925,15089,7.99,08-01-2025,Standard,07-02-2025,active,TRUE
T81782435999,15089,7.99,10-02-2025,Standard,12-03-2025,churned,FALSE
T87129661959,15090,12.99,05-11-2024,Premium,04-01-2025,active,TRUE
T80934816930,15090,12.99,08-01-2025,Premium,09-03-2025,active,TRUE
T69595131556,15090,12.99,10-03-2025,Premium,09-05-2025,active,TRUE
T72028034723,15091,4.99,05-11-2024,Student Plan,05-12-2024,churned,FALSE
T57923234171,15092,7.99,05-11-2024,Standard,05-12-2024,active,TRUE
T83021746373,15092,7.99,06-12-2024,Standard,05-01-2025,active,TRUE
T94576775601,15092,7.99,07-01-2025,Standard,06-02-2025,active,TRUE
T85511011463,15092,7.99,07-02-2025,Standard,09-03-2025,active,TRUE
T97184496697,15092,7.99,10-03-2025,Standard,09-04-2025,churned,FALSE
T73396126660,15093,12.99,05-11-2024,Premium,04-01-2025,active,TRUE
T57925793580,15093,12.99,09-01-2025,Premium,10-03-2025,churned,FALSE
T77840284930,15094,12.99,05-11-2024,Premium,04-01-2025,active,TRUE
T61860980019,15094,7.99,07-01-2025,Standard,06-02-2025,churned,FALSE
T76974502102,15095,12.99,05-11-2024,Premium,04-01-2025,active,TRUE
T50781590799,15095,12.99,09-01-2025,Premium,10-03-2025,active,TRUE
T64686972118,15095,12.99,13-03-2025,Premium,12-05-2025,active,TRUE
T60630686067,15096,4.99,06-11-2024,Student Plan,06-12-2024,active,TRUE
T82832346870,15096,4.99,11-12-2024,Student Plan,10-01-2025,active,TRUE
T99511422159,15096,4.99,11-01-2025,Student Plan,10-02-2025,active,TRUE
T99520446452,15096,7.99,14-02-2025,Standard,16-03-2025,active,TRUE
T95126434621,15097,12.99,06-11-2024,Premium,05-01-2025,active,TRUE
T81162052374,15097,12.99,07-01-2025,Premium,08-03-2025,active,TRUE
T53626492857,15097,12.99,10-03-2025,Premium,09-05-2025,active,TRUE
T57116855281,15098,4.99,06-11-2024,Student Plan,06-12-2024,active,TRUE
T74783150145,15098,4.99,11-12-2024,Student Plan,10-01-2025,active,TRUE
T61129117250,15098,12.99,12-01-2025,Premium,13-03-2025,active,TRUE
T70216549572,15099,4.99,06-11-2024,Student Plan,06-12-2024,active,TRUE
T72053493297,15099,4.99,10-12-2024,Student Plan,09-01-2025,active,TRUE
T51472331117,15099,4.99,13-01-2025,Student Plan,12-02-2025,active,TRUE
T93009526674,15099,4.99,17-02-2025,Student Plan,19-03-2025,active,TRUE
T71833565255,15100,12.99,06-11-2024,Premium,05-01-2025,active,TRUE
T52808656878,15100,7.99,06-01-2025,Standard,05-02-2025,churned,FALSE
T98109266305,15101,7.99,06-11-2024,Standard,06-12-2024,active,TRUE
T57007002572,15101,7.99,10-12-2024,Standard,09-01-2025,active,TRUE
T71634739971,15101,7.99,10-01-2025,Standard,09-02-2025,active,TRUE
T93883672836,15101,7.99,12-02-2025,Standard,14-03-2025,active,TRUE
T62436488560,15102,12.99,06-11-2024,Premium,05-01-2025,active,TRUE
T74468891189,15102,7.99,07-01-2025,Standard,06-02-2025,active,TRUE
T72501445174,15102,7.99,09-02-2025,Standard,11-03-2025,active,TRUE
T56850853945,15102,7.99,13-03-2025,Standard,12-04-2025,churned,FALSE
T62812109125,15103,12.99,06-11-2024,Premium,05-01-2025,active,TRUE
T64033791309,15103,12.99,06-01-2025,Premium,07-03-2025,active,TRUE
T60455272464,15103,12.99,09-03-2025,Premium,08-05-2025,active,TRUE
T67211983119,15104,7.99,06-11-2024,Standard,06-12-2024,active,TRUE
T81331281982,15104,7.99,07-12-2024,Standard,06-01-2025,active,TRUE
T86242608800,15104,7.99,09-01-2025,Standard,08-02-2025,churned,FALSE
T79017132223,15105,7.99,06-11-2024,Standard,06-12-2024,active,TRUE
T67927225850,15105,7.99,09-12-2024,Standard,08-01-2025,churned,FALSE
T55311097601,15106,7.99,06-11-2024,Standard,06-12-2024,active,TRUE
T95268561009,15106,7.99,09-12-2024,Standard,08-01-2025,active,TRUE
T94995096840,15106,7.99,12-01-2025,Standard,11-02-2025,churned,FALSE
T89207295567,15107,12.99,06-11-2024,Premium,05-01-2025,active,TRUE
T94986227047,15107,12.99,06-01-2025,Premium,07-03-2025,active,TRUE
T70733790569,15107,12.99,11-03-2025,Premium,10-05-2025,active,TRUE
T91592591092,15108,7.99,06-11-2024,Standard,06-12-2024,active,TRUE
T74459598765,15108,12.99,09-12-2024,Premium,07-02-2025,active,TRUE
T97281669958,15108,12.99,10-02-2025,Premium,11-04-2025,active,TRUE
T50682977355,15109,12.99,06-11-2024,Premium,05-01-2025,active,TRUE
T63489169518,15109,7.99,08-01-2025,Standard,07-02-2025,churned,FALSE
T88050579069,15110,12.99,06-11-2024,Premium,05-01-2025,active,TRUE
T85264713566,15110,12.99,07-01-2025,Premium,08-03-2025,active,TRUE
T98061019775,15110,12.99,09-03-2025,Premium,08-05-2025,active,TRUE
T66816871796,15111,7.99,06-11-2024,Standard,06-12-2024,active,TRUE
T92423179606,15111,7.99,10-12-2024,Standard,09-01-2025,active,TRUE
T93923914108,15111,7.99,12-01-2025,Standard,11-02-2025,active,TRUE
T73775188825,15111,-1,16-02-2025,Standard,18-03-2025,active,TRUE
T81398879357,15112,12.99,06-11-2024,Premium,05-01-2025,active,TRUE
T51620509399,15112,12.99,06-01-2025,Premium,07-03-2025,active,TRUE
T74847752912,15112,-5.99,08-03-2025,Premium,07-05-2025,active,TRUE
T84033325173,15113,12.99,06-11-2024,Premium,05-01-2025,active,TRUE
T79445898203,15113,7.99,06-01-2025,Standard,05-02-2025,active,TRUE
T76294235105,15113,7.99,10-02-2025,Standard,12-03-2025,active,TRUE
T92243161525,15114,7.99,06-11-2024,Standard,06-12-2024,active,TRUE
T55305955622,15114,7.99,11-12-2024,Standard,10-01-2025,active,TRUE
T86228109633,15114,7.99,14-01-2025,Standard,13-02-2025,active,TRUE
T65084061635,15114,7.99,14-02-2025,Standard,16-03-2025,active,TRUE
T50294315542,15115,12.99,07-11-2024,Premium,06-01-2025,active,TRUE
T66862062984,15115,7.99,08-01-2025,Standard,07-02-2025,churned,FALSE
T94041124539,15116,7.99,07-11-2024,Standard,07-12-2024,active,TRUE
T93755010235,15116,12.99,12-12-2024,Premium,10-02-2025,active,TRUE
T53388751284,15116,7.99,15-02-2025,Standard,17-03-2025,active,TRUE
T63077759815,15117,7.99,07-11-2024,Standard,07-12-2024,active,TRUE
T84415258963,15117,7.99,12-12-2024,Standard,11-01-2025,active,TRUE
T74371328498,15117,7.99,16-01-2025,Standard,15-02-2025,active,TRUE
T68047576310,15117,12.99,17-02-2025,Premium,18-04-2025,active,TRUE
T52304584743,15118,7.99,07-11-2024,Standard,07-12-2024,churned,FALSE
T95238406042,15119,7.99,07-11-2024,Standard,07-12-2024,active,TRUE
T98084568850,15119,7.99,11-12-2024,Standard,10-01-2025,active,TRUE
T96945464148,15119,7.99,14-01-2025,Standard,13-02-2025,active,TRUE
T85813088690,15119,7.99,15-02-2025,Standard,17-03-2025,active,TRUE
T57387674068,15120,4.99,07-11-2024,Student Plan,07-12-2024,active,TRUE
T79763562885,15120,4.99,11-12-2024,Student Plan,10-01-2025,active,TRUE
T74975042535,15120,4.99,15-01-2025,Student Plan,14-02-2025,active,TRUE
T55119651728,15120,7.99,18-02-2025,Standard,20-03-2025,active,TRUE
T53303036903,15121,4.99,07-11-2024,Student Plan,07-12-2024,churned,FALSE
T89732736724,15122,4.99,07-11-2024,Student Plan,07-12-2024,active,TRUE
T82247841218,15122,4.99,09-12-2024,Student Plan,08-01-2025,active,TRUE
T62451790664,15122,4.99,11-01-2025,Student Plan,10-02-2025,active,TRUE
T59409752244,15122,4.99,13-02-2025,Student Plan,15-03-2025,active,TRUE
T60546415001,15123,12.99,07-11-2024,Premium,06-01-2025,active,TRUE
T94144639857,15123,7.99,10-01-2025,Standard,09-02-2025,churned,FALSE
T71027080974,15124,4.99,07-11-2024,Student Plan,07-12-2024,active,TRUE
T87808970424,15124,3.141689,09-12-2024,Student Plan,08-01-2025,churned,FALSE
